wikipedia_article,country,team_id,name,method
Caracas FC,VEN,2808,Caracas,same name and country as a paired club
Centro Atlético Fénix,URU,2357,Fénix,kick-off pairing
Cerro Porteño,PAR,1176,Cerro Porteño,kick-off pairing
Club Athletico Paranaense,BRA,134,Atletico Paranaense,Brazilian name
Club Atlas,MEX,8000004,Atlas,synthetic (not in any API season paired)
Club Atlético Banfield,ARG,449,Banfield,kick-off pairing
Club Atlético Belgrano,ARG,440,Belgrano,kick-off pairing
Club Atlético Colón,ARG,448,Colón,kick-off pairing
Club Atlético Huracán,ARG,445,Huracán,kick-off pairing
Club Atlético Independiente,ARG,453,Independiente,kick-off pairing
Club Atlético Lanús,ARG,446,Lanús,kick-off pairing
Club Atlético River Plate,ARG,435,River Plate,kick-off pairing
Club Atlético River Plate (Montevideo),URU,2351,River Plate,kick-off pairing
Club Atlético Tigre,ARG,452,Tigre,kick-off pairing
Club Atlético Vélez Sarsfield,ARG,438,Vélez Sarsfield,kick-off pairing
Club Aurora,BOL,3637,Aurora,kick-off pairing
Club Blooming,BOL,3701,Blooming,kick-off pairing
Club Bolívar,BOL,3702,Bolívar,kick-off pairing
Club Deportivo Palestino,CHI,2318,Palestino,kick-off pairing
Club Deportivo San José,BOL,3710,San José,same name and country as a paired club
Club Deportivo Universidad Católica,CHI,2994,Universidad Católica,kick-off pairing
Club Deportivo Universidad César Vallejo,PER,2541,Universidad César Vallejo,kick-off pairing
Club General Díaz (Luque),PAR,8000005,General Díaz,synthetic (not in any API season paired)
Club Guaraní,PAR,1174,Guaraní,kick-off pairing
