fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1180443,Jefferson Ferreira de Moraes,UTC,2024-06-16T21:30:00+00:00,1718573400,1718573400,1718577000,235,Arena Pantanal,"Cuiabá, Mato Grosso",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,True,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,False,5,0,4,0,5,0,,,,
1180436,Rodrigo José Pereira de Lima,UTC,2024-06-17T23:30:00+00:00,1718667000,1718667000,1718670600,21427,Arena MRV,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 9,True,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,False,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,0,4,0,1,0,4,,,,
1180449,Ramon Abatti,UTC,2024-06-19T22:00:00+00:00,1718834400,1718834400,1718838000,218,Estádio Nilton Santos,Rio de Janeiro,Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,120,Botafogo,https://media.api-sports.io/football/teams/120.png,,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,,1,1,0,0,1,1,,,,
1180453,Alex Gomes,UTC,2024-06-19T22:00:00+00:00,1718834400,1718834400,1718838000,211,Estádio Antônio Accioly,"Goiânia, Goiás",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,False,140,Criciuma,https://media.api-sports.io/football/teams/140.png,True,1,2,1,0,1,2,,,,
1180451,Gustavo Ervino Bauermann,UTC,2024-06-19T23:00:00+00:00,1718838000,1718838000,1718841600,20813,MorumBIS,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,True,0,1,0,0,0,1,,,,
1180454,Paulo Cesar Zanovelli da Silva,UTC,2024-06-19T23:00:00+00:00,1718838000,1718838000,1718841600,248,Estádio Alfredo Jaconi,"Caxias do Sul, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,152,Juventude,https://media.api-sports.io/football/teams/152.png,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,False,2,0,0,0,2,0,,,,
1180452,João Gobi,UTC,2024-06-19T23:00:00+00:00,1718838000,1718838000,1718841600,225,Estádio Governador Plácido Aderaldo Castelo,"Fortaleza, Ceará",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,False,1,0,1,0,1,0,,,,
1180445,Wagner do Nascimento Magalhaes,UTC,2024-06-20T00:30:00+00:00,1718843400,1718843400,1718847000,7126,Estádio Orlando Scarpelli,"Florianópolis, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,True,131,Corinthians,https://media.api-sports.io/football/teams/131.png,False,1,0,1,0,1,0,,,,
1180446,Matheus Delgado Candançan,UTC,2024-06-20T00:30:00+00:00,1718843400,1718843400,1718847000,234,Estádio Governador Magalhães Pinto,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,False,2,0,1,0,2,0,,,,
1180447,Marcelo de Lima Henrique,UTC,2024-06-20T21:30:00+00:00,1718919000,1718919000,1718922600,281,Estádio Manoel Barradas,"Salvador, Bahia",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 10,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,True,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,False,4,2,2,1,4,2,,,,
