date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
27/10/2021,Bahia,Ceara,1,1,draw,0.425,0.281,0.294
28/10/2021,RB Bragantino,Sport Recife,3,0,home,0.647,0.259,0.095
30/10/2021,Flamengo,Atletico-MG,1,0,home,0.444,0.23399999999999999,0.32299999999999995
30/10/2021,America Mineiro,Fortaleza EC,2,1,home,0.40700000000000003,0.29600000000000004,0.298
30/10/2021,Atletico Paranaense,Santos,0,1,away,0.49200000000000005,0.27399999999999997,0.233
30/10/2021,Juventude,Bahia,0,0,draw,0.371,0.26899999999999996,0.36
31/10/2021,Sao Paulo,Internacional,1,0,home,0.41600000000000004,0.262,0.32299999999999995
31/10/2021,Gremio,Palmeiras,1,3,away,0.355,0.27,0.374
31/10/2021,Ceara,Fluminense,1,0,home,0.385,0.295,0.319
31/10/2021,Sport Recife,Atletico Goianiense,2,0,home,0.242,0.355,0.40299999999999997
01/11/2021,Corinthians,Chapecoense-sc,1,0,home,0.6409999999999999,0.22699999999999998,0.131
01/11/2021,Cuiaba,RB Bragantino,1,0,home,0.294,0.29100000000000004,0.415
02/11/2021,Atletico Paranaense,Flamengo,2,2,draw,0.22699999999999998,0.23,0.5429999999999999
03/11/2021,Atletico-MG,Gremio,2,1,home,0.679,0.20600000000000002,0.115
04/11/2021,Cuiaba,Chapecoense-sc,0,0,draw,0.5710000000000001,0.266,0.163
05/11/2021,Flamengo,Atletico Goianiense,2,0,home,0.645,0.209,0.146
06/11/2021,Corinthians,Fortaleza EC,1,0,home,0.45399999999999996,0.278,0.268
06/11/2021,Internacional,Gremio,1,0,home,0.486,0.261,0.253
06/11/2021,Fluminense,Sport Recife,1,0,home,0.579,0.29600000000000004,0.125
07/11/2021,Ceara,Cuiaba,1,0,home,0.445,0.332,0.223
07/11/2021,Santos,Palmeiras,0,2,away,0.29100000000000004,0.272,0.43700000000000006
07/11/2021,Atletico-MG,America Mineiro,1,0,home,0.5539999999999999,0.271,0.175
07/11/2021,Bahia,Sao Paulo,1,0,home,0.35100000000000003,0.27699999999999997,0.37200000000000005
07/11/2021,RB Bragantino,Atletico Paranaense,0,2,away,0.573,0.24,0.187
08/11/2021,Chapecoense-sc,Flamengo,2,2,draw,0.159,0.201,0.639
09/11/2021,Gremio,Fluminense,1,0,home,0.37,0.281,0.349
10/11/2021,Palmeiras,Atletico Goianiense,4,0,home,0.529,0.261,0.21
10/11/2021,Santos,RB Bragantino,2,0,home,0.275,0.272,0.45299999999999996
10/11/2021,Atletico-MG,Corinthians,3,0,home,0.596,0.25,0.154
10/11/2021,Fortaleza EC,Sao Paulo,1,1,draw,0.40299999999999997,0.273,0.324
10/11/2021,Sport Recife,America Mineiro,2,3,away,0.25,0.369,0.38
10/11/2021,Atletico Paranaense,Ceara,2,1,home,0.413,0.292,0.294
10/11/2021,Juventude,Internacional,2,1,home,0.26899999999999996,0.264,0.466
11/11/2021,Flamengo,Bahia,3,0,home,0.655,0.2,0.145
13/11/2021,Corinthians,Cuiaba,3,2,home,0.493,0.33,0.177
13/11/2021,America Mineiro,Gremio,3,1,home,0.5,0.27899999999999997,0.222
13/11/2021,Internacional,Atletico Paranaense,2,1,home,0.537,0.251,0.212
