knob,level,season,matches,diff,ci_low,ci_high
seed_gap,50,2016,375,0.00022097836330710018,-8.842634540421377e-05,0.0005347730678060195
seed_gap,50,2017,378,0.000213595802632703,-1.27556597113588e-05,0.00044137458581314915
seed_gap,50,2018,377,7.66951365916559e-06,-0.00011872634032334194,0.0001312435521129654
seed_gap,50,2019,376,3.849146827120729e-06,-0.00019314987788028267,0.00020084594196987887
seed_gap,50,2020,377,0.00012125883130068525,-0.00010312490960648765,0.0003454257351974479
seed_gap,50,2021,377,-3.3524258630701605e-05,-0.00012751553894494247,5.96321843326764e-05
seed_gap,50,2022,377,-4.114678100525407e-05,-0.0001157909045718336,3.4336622687742295e-05
seed_gap,50,2023,373,2.074014091712997e-05,-0.00011344324705183486,0.00015838339740106814
seed_gap,50,2024,376,2.558385022676127e-06,-6.811593391501852e-05,7.227113393681708e-05
seed_gap,50,2025,374,-4.252181597583926e-05,-0.0001435708957716276,5.580238193729152e-05
seed_gap,150,2016,375,-0.00023354024195560775,-0.0005203227983246804,4.6442816609212664e-05
seed_gap,150,2017,378,-0.00023046308953626217,-0.00046230234612823707,-3.6282416138332224e-06
seed_gap,150,2018,377,5.135744918976899e-05,-8.20262069329396e-05,0.00018508402915743836
seed_gap,150,2019,376,6.486985914280499e-05,-0.00016090916970455205,0.0002926645836225782
seed_gap,150,2020,377,-0.00013003586716745037,-0.0003803253768343014,0.00011718020198364442
seed_gap,150,2021,377,2.6185559281103215e-05,-6.76731267594339e-05,0.00011881452655544827
seed_gap,150,2022,377,4.2281824405483614e-05,-5.2647320606978e-05,0.00013482041255618042
seed_gap,150,2023,373,-4.267215213622759e-05,-0.0001925711456742354,0.00010251574832292841
seed_gap,150,2024,376,1.2883648048094935e-06,-6.940097353805275e-05,7.12270161397162e-05
seed_gap,150,2025,374,4.562415138450066e-05,-4.9512144011788954e-05,0.0001430130996562837
season_regression,0.1,2016,375,4.9349737163638885e-05,-0.0005043109293834678,0.0006114268206313151
season_regression,0.1,2017,378,0.0006099255199942146,0.00022502974581430717,0.0009954297721474308
season_regression,0.1,2018,377,0.00022746963249633916,-0.00015871000117180704,0.0006112199181401407
season_regression,0.1,2019,376,0.00010309780859087672,-0.0005339389663110464,0.0007229204797334256
season_regression,0.1,2020,377,0.0004937773951479694,-0.00021960436892809817,0.0012265869872797174
season_regression,0.1,2021,377,-0.00010498929334945777,-0.0006150561159572386,0.0004081758314302288
season_regression,0.1,2022,377,-0.00021991100801726552,-0.0007237513370521973,0.00027383165386471973
season_regression,0.1,2023,373,0.0006130309794748078,-3.7696131572069164e-05,0.001284910180640522
season_regression,0.1,2024,376,0.0001422900585482511,-0.00028863426807163993,0.0005730317161079865
season_regression,0.1,2025,374,-9.866941432576066e-05,-0.0006468641458229492,0.0004573414402905187
season_regression,0.2,2016,375,-3.1893246562370396e-05,-0.00105275194994214,0.0009884790795123286
season_regression,0.2,2017,378,0.001091966326288601,0.0004283969062303451,0.0017574011078985243
season_regression,0.2,2018,377,0.00045874661566165236,-0.00019761268595982177,0.0011088583145269734
season_regression,0.2,2019,376,0.0003593775807467379,-0.0006874740443158223,0.0013709550522281165
season_regression,0.2,2020,377,0.000796293627391256,-0.0003765215653082195,0.001967124511475638
season_regression,0.2,2021,377,-0.00020626308884320822,-0.0011145493098073324,0.0007127381309338758
season_regression,0.2,2022,377,-0.00032434743391009037,-0.0012812180299958944,0.0006054058089636352
season_regression,0.2,2023,373,0.0010039406683750858,-0.0001619057002310424,0.0021947701995095412
season_regression,0.2,2024,376,0.00033065871892330446,-0.0004671561015696886,0.0011288753780622494
