type,date,team,n_simulations
brasileirao_relegation,2025-10-19,Gremio,21
brasileirao_relegation,2025-10-19,Corinthians,10
brasileirao_relegation,2025-10-19,Sao Paulo,5
brasileirao_relegation,2025-10-19,RB Bragantino,16
brasileirao_relegation,2025-10-19,Vasco DA Gama,9
brasileirao_title,2025-10-20,Flamengo,540
brasileirao_title,2025-10-20,Palmeiras,356
brasileirao_title,2025-10-20,Cruzeiro,4
brasileirao_relegation,2025-10-20,Atletico-MG,120
brasileirao_relegation,2025-10-20,Juventude,855
brasileirao_relegation,2025-10-20,Fortaleza EC,828
brasileirao_relegation,2025-10-20,Sport Recife,900
brasileirao_relegation,2025-10-20,Vitoria,426
brasileirao_relegation,2025-10-20,Ceara,57
brasileirao_relegation,2025-10-20,Santos,305
brasileirao_relegation,2025-10-20,Corinthians,10
brasileirao_relegation,2025-10-20,Internacional,28
brasileirao_relegation,2025-10-20,Gremio,28
brasileirao_relegation,2025-10-20,Sao Paulo,9
brasileirao_relegation,2025-10-20,RB Bragantino,34
brasileirao_title,2025-10-22,Flamengo,451
brasileirao_title,2025-10-22,Palmeiras,296
brasileirao_title,2025-10-22,Cruzeiro,3
brasileirao_relegation,2025-10-22,Corinthians,17
brasileirao_relegation,2025-10-22,Fortaleza EC,703
brasileirao_relegation,2025-10-22,Juventude,722
brasileirao_relegation,2025-10-22,Sport Recife,750
brasileirao_relegation,2025-10-22,Atletico-MG,112
brasileirao_relegation,2025-10-22,Internacional,35
brasileirao_relegation,2025-10-22,Santos,253
brasileirao_relegation,2025-10-22,Vitoria,303
brasileirao_relegation,2025-10-22,RB Bragantino,21
brasileirao_relegation,2025-10-22,Ceara,54
brasileirao_relegation,2025-10-22,Gremio,25
brasileirao_relegation,2025-10-22,Sao Paulo,4
brasileirao_relegation,2025-10-22,Vasco DA Gama,1
brasileirao_title,2025-10-25,Palmeiras,535
brasileirao_title,2025-10-25,Flamengo,343
brasileirao_title,2025-10-25,Cruzeiro,22
brasileirao_relegation,2025-10-25,Vitoria,586
brasileirao_relegation,2025-10-25,Juventude,843
brasileirao_relegation,2025-10-25,Santos,303
brasileirao_relegation,2025-10-25,Sport Recife,900
brasileirao_relegation,2025-10-25,Internacional,58
brasileirao_relegation,2025-10-25,Fortaleza EC,738
brasileirao_relegation,2025-10-25,Atletico-MG,50
brasileirao_relegation,2025-10-25,RB Bragantino,24
brasileirao_relegation,2025-10-25,Ceara,77
brasileirao_relegation,2025-10-25,Gremio,19
brasileirao_relegation,2025-10-25,Corinthians,2
brasileirao_title,2025-10-26,Flamengo,490
brasileirao_title,2025-10-26,Palmeiras,396
brasileirao_title,2025-10-26,Mirassol,4
brasileirao_title,2025-10-26,Cruzeiro,10
brasileirao_relegation,2025-10-26,Internacional,58
brasileirao_relegation,2025-10-26,Juventude,873
brasileirao_relegation,2025-10-26,Fortaleza EC,744
brasileirao_relegation,2025-10-26,Sport Recife,900
brasileirao_relegation,2025-10-26,Vitoria,553
brasileirao_relegation,2025-10-26,Santos,286
brasileirao_relegation,2025-10-26,RB Bragantino,68
brasileirao_relegation,2025-10-26,Atletico-MG,36
brasileirao_relegation,2025-10-26,Ceara,75
brasileirao_relegation,2025-10-26,Gremio,4
brasileirao_relegation,2025-10-26,Corinthians,3
brasileirao_title,2025-10-29,Palmeiras,425
brasileirao_title,2025-10-29,Flamengo,455
brasileirao_title,2025-10-29,Cruzeiro,16
brasileirao_title,2025-10-29,Mirassol,4
brasileirao_relegation,2025-10-29,Fortaleza EC,740
brasileirao_relegation,2025-10-29,Juventude,873
brasileirao_relegation,2025-10-29,Vitoria,518
brasileirao_relegation,2025-10-29,Sport Recife,900
brasileirao_relegation,2025-10-29,Ceara,111
brasileirao_relegation,2025-10-29,Santos,282
brasileirao_relegation,2025-10-29,Internacional,39
brasileirao_relegation,2025-10-29,Atletico-MG,28
brasileirao_relegation,2025-10-29,RB Bragantino,104
brasileirao_relegation,2025-10-29,Corinthians,1
brasileirao_relegation,2025-10-29,Gremio,3
brasileirao_relegation,2025-10-29,Sao Paulo,1
brasileirao_title,2025-11-01,Flamengo,501
brasileirao_title,2025-11-01,Palmeiras,385
brasileirao_title,2025-11-01,Cruzeiro,14
brasileirao_relegation,2025-11-01,Santos,283
brasileirao_relegation,2025-11-01,Fortaleza EC,709
brasileirao_relegation,2025-11-01,Juventude,862
brasileirao_relegation,2025-11-01,Sport Recife,900
brasileirao_relegation,2025-11-01,Vitoria,583
brasileirao_relegation,2025-11-01,RB Bragantino,76
brasileirao_relegation,2025-11-01,Ceara,93
brasileirao_relegation,2025-11-01,Internacional,51
brasileirao_relegation,2025-11-01,Atletico-MG,37
brasileirao_relegation,2025-11-01,Corinthians,1
brasileirao_relegation,2025-11-01,Sao Paulo,1
brasileirao_relegation,2025-11-01,Gremio,4
brasileirao_title,2025-11-02,Flamengo,384
brasileirao_title,2025-11-02,Palmeiras,507
brasileirao_title,2025-11-02,Cruzeiro,9
brasileirao_relegation,2025-11-02,Santos,301
brasileirao_relegation,2025-11-02,Vitoria,577
brasileirao_relegation,2025-11-02,Fortaleza EC,713
brasileirao_relegation,2025-11-02,Sport Recife,900
brasileirao_relegation,2025-11-02,RB Bragantino,95
brasileirao_relegation,2025-11-02,Juventude,883
brasileirao_relegation,2025-11-02,Internacional,64
brasileirao_relegation,2025-11-02,Atletico-MG,14
brasileirao_relegation,2025-11-02,Ceara,46
brasileirao_relegation,2025-11-02,Gremio,7
brasileirao_title,2025-11-05,Flamengo,329
brasileirao_title,2025-11-05,Cruzeiro,36
brasileirao_title,2025-11-05,Palmeiras,535
brasileirao_relegation,2025-11-05,RB Bragantino,30
brasileirao_relegation,2025-11-05,Fortaleza EC,771
brasileirao_relegation,2025-11-05,Juventude,854
brasileirao_relegation,2025-11-05,Sport Recife,900
brasileirao_relegation,2025-11-05,Gremio,28
brasileirao_relegation,2025-11-05,Internacional,142
brasileirao_relegation,2025-11-05,Vitoria,505
brasileirao_relegation,2025-11-05,Santos,320
brasileirao_relegation,2025-11-05,Ceara,42
brasileirao_relegation,2025-11-05,Atletico-MG,8
brasileirao_title,2025-11-06,Flamengo,267
brasileirao_title,2025-11-06,Palmeiras,609
brasileirao_title,2025-11-06,Cruzeiro,24
brasileirao_relegation,2025-11-06,Vitoria,466
brasileirao_relegation,2025-11-06,Juventude,849
brasileirao_relegation,2025-11-06,Santos,393
brasileirao_relegation,2025-11-06,Sport Recife,900
brasileirao_relegation,2025-11-06,Fortaleza EC,777
brasileirao_relegation,2025-11-06,Ceara,49
brasileirao_relegation,2025-11-06,Internacional,108
brasileirao_relegation,2025-11-06,RB Bragantino,26
brasileirao_relegation,2025-11-06,Gremio,24
brasileirao_relegation,2025-11-06,Atletico-MG,8
brasileirao_title,2025-11-08,Palmeiras,616
brasileirao_title,2025-11-08,Flamengo,262
brasileirao_title,2025-11-08,Cruzeiro,22
brasileirao_relegation,2025-11-08,Vitoria,499
brasileirao_relegation,2025-11-08,Juventude,748
brasileirao_relegation,2025-11-08,Santos,427
brasileirao_relegation,2025-11-08,Sport Recife,900
brasileirao_relegation,2025-11-08,Fortaleza EC,778
brasileirao_relegation,2025-11-08,Ceara,52
brasileirao_relegation,2025-11-08,Internacional,167
brasileirao_relegation,2025-11-08,Gremio,26
brasileirao_relegation,2025-11-08,RB Bragantino,1
brasileirao_relegation,2025-11-08,Corinthians,1
brasileirao_relegation,2025-11-08,Vasco DA Gama,1
brasileirao_title,2025-11-09,Palmeiras,467
brasileirao_title,2025-11-09,Flamengo,422
brasileirao_title,2025-11-09,Cruzeiro,11
brasileirao_relegation,2025-11-09,Fortaleza EC,829
brasileirao_relegation,2025-11-09,Santos,464
brasileirao_relegation,2025-11-09,Juventude,737
brasileirao_relegation,2025-11-09,Sport Recife,900
brasileirao_relegation,2025-11-09,Vitoria,511
brasileirao_relegation,2025-11-09,Internacional,141
brasileirao_relegation,2025-11-09,Corinthians,2
brasileirao_relegation,2025-11-09,Gremio,11
brasileirao_relegation,2025-11-09,Ceara,3
brasileirao_relegation,2025-11-09,RB Bragantino,1
brasileirao_relegation,2025-11-09,Vasco DA Gama,1
brasileirao_title,2025-11-12,Palmeiras,461
brasileirao_title,2025-11-12,Cruzeiro,15
brasileirao_title,2025-11-12,Flamengo,424
brasileirao_relegation,2025-11-12,Vitoria,492
brasileirao_relegation,2025-11-12,Juventude,741
brasileirao_relegation,2025-11-12,Fortaleza EC,831
brasileirao_relegation,2025-11-12,Sport Recife,900
brasileirao_relegation,2025-11-12,Santos,466
brasileirao_relegation,2025-11-12,Internacional,140
brasileirao_relegation,2025-11-12,Corinthians,1
brasileirao_relegation,2025-11-12,Gremio,15
brasileirao_relegation,2025-11-12,Ceara,4
brasileirao_relegation,2025-11-12,RB Bragantino,7
brasileirao_relegation,2025-11-12,Vasco DA Gama,3
brasileirao_title,2025-11-15,Flamengo,646
brasileirao_title,2025-11-15,Palmeiras,250
