type,date,team,n_simulations
brasileirao_title,2025-05-17,Cruzeiro,77
brasileirao_title,2025-05-17,Fluminense,9
brasileirao_title,2025-05-17,RB Bragantino,70
brasileirao_title,2025-05-17,Bahia,5
brasileirao_title,2025-05-17,Botafogo,56
brasileirao_title,2025-05-17,Internacional,11
brasileirao_title,2025-05-17,Corinthians,9
brasileirao_title,2025-05-17,Fortaleza EC,10
brasileirao_title,2025-05-17,Vitoria,1
brasileirao_title,2025-05-17,Mirassol,1
brasileirao_title,2025-05-17,Sao Paulo,3
brasileirao_title,2025-05-17,Atletico-MG,2
brasileirao_relegation,2025-05-17,Mirassol,256
brasileirao_relegation,2025-05-17,Santos,614
brasileirao_relegation,2025-05-17,Sport Recife,806
brasileirao_relegation,2025-05-17,Ceara,128
brasileirao_relegation,2025-05-17,Atletico-MG,128
brasileirao_relegation,2025-05-17,Vitoria,193
brasileirao_relegation,2025-05-17,Bahia,96
brasileirao_relegation,2025-05-17,Juventude,578
brasileirao_relegation,2025-05-17,Fluminense,37
brasileirao_relegation,2025-05-17,Vasco DA Gama,123
brasileirao_relegation,2025-05-17,Botafogo,11
brasileirao_relegation,2025-05-17,Gremio,395
brasileirao_relegation,2025-05-17,Corinthians,50
brasileirao_relegation,2025-05-17,Fortaleza EC,38
brasileirao_relegation,2025-05-17,Internacional,55
brasileirao_relegation,2025-05-17,Sao Paulo,81
brasileirao_relegation,2025-05-17,Cruzeiro,8
brasileirao_relegation,2025-05-17,RB Bragantino,3
brasileirao_title,2025-05-18,Flamengo,267
brasileirao_title,2025-05-18,Palmeiras,455
brasileirao_title,2025-05-18,Botafogo,32
brasileirao_title,2025-05-18,Fluminense,19
brasileirao_title,2025-05-18,Corinthians,13
brasileirao_title,2025-05-18,Fortaleza EC,11
brasileirao_title,2025-05-18,RB Bragantino,26
brasileirao_title,2025-05-18,Cruzeiro,55
brasileirao_title,2025-05-18,Atletico-MG,1
brasileirao_title,2025-05-18,Internacional,2
